date,division,inflation_yoy,inflation_mom,year,month,division_label
2005-10-01,01,4.5,0.4,2005,10,Food & Non-Alcoholic Beverages
2005-11-01,01,5.3,0.6,2005,11,Food & Non-Alcoholic Beverages
2005-12-01,01,5.5,0.5,2005,12,Food & Non-Alcoholic Beverages
2006-01-01,01,4.3,0.8,2006,1,Food & Non-Alcoholic Beverages
2006-02-01,01,4.0,-0.2,2006,2,Food & Non-Alcoholic Beverages
2006-03-01,01,3.6,-0.2,2006,3,Food & Non-Alcoholic Beverages
2006-04-01,01,3.1,0.0,2006,4,Food & Non-Alcoholic Beverages
2006-05-01,01,3.3,0.6,2006,5,Food & Non-Alcoholic Beverages
2006-06-01,01,3.2,0.4,2006,6,Food & Non-Alcoholic Beverages
2006-07-01,01,3.8,0.4,2006,7,Food & Non-Alcoholic Beverages
2006-08-01,01,3.2,-0.2,2006,8,Food & Non-Alcoholic Beverages
2006-09-01,01,3.1,0.1,2006,9,Food & Non-Alcoholic Beverages
2006-10-01,01,3.1,0.4,2006,10,Food & Non-Alcoholic Beverages
2006-11-01,01,2.9,0.5,2006,11,Food & Non-Alcoholic Beverages
2006-12-01,01,3.0,0.6,2006,12,Food & Non-Alcoholic Beverages
2007-01-01,01,3.1,0.9,2007,1,Food & Non-Alcoholic Beverages
2007-02-01,01,3.3,-0.1,2007,2,Food & Non-Alcoholic Beverages
2007-03-01,01,3.0,-0.5,2007,3,Food & Non-Alcoholic Beverages
2007-04-01,01,3.0,0.0,2007,4,Food & Non-Alcoholic Beverages
2007-05-01,01,2.4,0.0,2007,5,Food & Non-Alcoholic Beverages
2007-06-01,01,2.3,0.2,2007,6,Food & Non-Alcoholic Beverages
2007-07-01,01,2.3,0.4,2007,7,Food & Non-Alcoholic Beverages
2007-08-01,01,2.9,0.3,2007,8,Food & Non-Alcoholic Beverages
2007-09-01,01,3.0,0.2,2007,9,Food & Non-Alcoholic Beverages
2007-10-01,01,3.0,0.3,2007,10,Food & Non-Alcoholic Beverages
2007-11-01,01,3.9,1.4,2007,11,Food & Non-Alcoholic Beverages
2007-12-01,01,4.1,0.8,2007,12,Food & Non-Alcoholic Beverages
2008-01-01,01,3.8,0.7,2008,1,Food & Non-Alcoholic Beverages
2008-02-01,01,4.6,0.6,2008,2,Food & Non-Alcoholic Beverages
2008-03-01,01,4.9,-0.1,2008,3,Food & Non-Alcoholic Beverages
2008-04-01,01,5.6,0.7,2008,4,Food & Non-Alcoholic Beverages
2008-05-01,01,8.1,2.3,2008,5,Food & Non-Alcoholic Beverages
2008-06-01,01,10.1,2.1,2008,6,Food & Non-Alcoholic Beverages
2008-07-01,01,11.3,1.5,2008,7,Food & Non-Alcoholic Beverages
2008-08-01,01,11.7,0.7,2008,8,Food & Non-Alcoholic Beverages
2008-09-01,01,12.3,0.7,2008,9,Food & Non-Alcoholic Beverages
2008-10-01,01,12.1,0.2,2008,10,Food & Non-Alcoholic Beverages
2008-11-01,01,10.9,0.3,2008,11,Food & Non-Alcoholic Beverages
2008-12-01,01,10.4,0.3,2008,12,Food & Non-Alcoholic Beverages
2009-01-01,01,9.8,0.1,2009,1,Food & Non-Alcoholic Beverages
2009-02-01,01,9.2,0.0,2009,2,Food & Non-Alcoholic Beverages
2009-03-01,01,8.7,-0.5,2009,3,Food & Non-Alcoholic Beverages
2009-04-01,01,7.5,-0.4,2009,4,Food & Non-Alcoholic Beverages
2009-05-01,01,5.2,0.1,2009,5,Food & Non-Alcoholic Beverages
