date,division,inflation_yoy,inflation_mom,year,month,division_label
2009-08-01,overall,-2.5,0.1,2009,8,Overall CPI
2009-09-01,overall,-2.0,0.3,2009,9,Overall CPI
2009-10-01,overall,-1.5,0.1,2009,10,Overall CPI
2009-11-01,overall,-0.1,0.2,2009,11,Overall CPI
2009-12-01,overall,1.0,0.2,2009,12,Overall CPI
2010-01-01,overall,1.4,0.3,2010,1,Overall CPI
2010-02-01,overall,1.2,0.0,2010,2,Overall CPI
2010-03-01,overall,1.4,0.0,2010,3,Overall CPI
2010-04-01,overall,1.6,0.0,2010,4,Overall CPI
2010-05-01,overall,1.6,0.2,2010,5,Overall CPI
2010-06-01,overall,1.6,0.1,2010,6,Overall CPI
2010-07-01,overall,1.8,0.3,2010,7,Overall CPI
2010-08-01,overall,2.0,0.3,2010,8,Overall CPI
2010-09-01,overall,1.8,0.1,2010,9,Overall CPI
2010-10-01,overall,1.9,0.2,2010,10,Overall CPI
2010-11-01,overall,1.9,0.2,2010,11,Overall CPI
2010-12-01,overall,2.1,0.4,2010,12,Overall CPI
2011-01-01,overall,2.4,0.6,2011,1,Overall CPI
2011-02-01,overall,2.9,0.5,2011,2,Overall CPI
2011-03-01,overall,3.0,0.1,2011,3,Overall CPI
2011-04-01,overall,3.2,0.2,2011,4,Overall CPI
2011-05-01,overall,3.3,0.3,2011,5,Overall CPI
2011-06-01,overall,3.5,0.3,2011,6,Overall CPI
2011-07-01,overall,3.4,0.2,2011,7,Overall CPI
2011-08-01,overall,3.3,0.2,2011,8,Overall CPI
2011-09-01,overall,3.5,0.3,2011,9,Overall CPI
2011-10-01,overall,3.4,0.1,2011,10,Overall CPI
2011-11-01,overall,3.3,0.1,2011,11,Overall CPI
2011-12-01,overall,3.0,0.1,2011,12,Overall CPI
2012-01-01,overall,2.7,0.3,2012,1,Overall CPI
2012-02-01,overall,2.2,0.0,2012,2,Overall CPI
2012-03-01,overall,2.1,0.0,2012,3,Overall CPI
2012-04-01,overall,1.9,0.0,2012,4,Overall CPI
2012-05-01,overall,1.7,0.2,2012,5,Overall CPI
2012-06-01,overall,1.6,0.1,2012,6,Overall CPI
2012-07-01,overall,1.4,0.0,2012,7,Overall CPI
2012-08-01,overall,1.4,0.2,2012,8,Overall CPI
2012-09-01,overall,1.3,0.2,2012,9,Overall CPI
2012-10-01,overall,1.3,0.2,2012,10,Overall CPI
2012-11-01,overall,1.3,0.1,2012,11,Overall CPI
2012-12-01,overall,1.2,0.0,2012,12,Overall CPI
2013-01-01,overall,1.3,0.4,2013,1,Overall CPI
2013-02-01,overall,1.5,0.2,2013,2,Overall CPI
2013-03-01,overall,1.6,0.1,2013,3,Overall CPI
2013-04-01,overall,1.7,0.1,2013,4,Overall CPI
2013-05-01,overall,1.8,0.3,2013,5,Overall CPI
2013-06-01,overall,1.8,0.1,2013,6,Overall CPI
2013-07-01,overall,2.0,0.2,2013,7,Overall CPI
2013-08-01,overall,1.9,0.1,2013,8,Overall CPI
2013-09-01,overall,2.6,0.8,2013,9,Overall CPI
2013-10-01,overall,2.8,0.4,2013,10,Overall CPI
2013-11-01,overall,2.9,0.3,2013,11,Overall CPI
2013-12-01,overall,3.2,0.3,2013,12,Overall CPI
2014-01-01,overall,3.4,0.6,2014,1,Overall CPI
2014-02-01,overall,3.5,0.3,2014,2,Overall CPI
2014-03-01,overall,3.5,0.1,2014,3,Overall CPI
2014-04-01,overall,3.4,0.0,2014,4,Overall CPI
2014-05-01,overall,3.2,0.1,2014,5,Overall CPI
2014-06-01,overall,3.3,0.2,2014,6,Overall CPI
2014-07-01,overall,3.2,0.1,2014,7,Overall CPI
2014-08-01,overall,3.3,0.2,2014,8,Overall CPI
2014-09-01,overall,2.6,0.2,2014,9,Overall CPI
2014-10-01,overall,2.8,0.5,2014,10,Overall CPI
2014-11-01,overall,3.0,0.5,2014,11,Overall CPI
2014-12-01,overall,2.7,-0.1,2014,12,Overall CPI
2015-01-01,overall,1.0,-1.1,2015,1,Overall CPI
2015-02-01,overall,0.1,-0.6,2015,2,Overall CPI
2015-03-01,overall,0.9,0.9,2015,3,Overall CPI
2015-04-01,overall,1.8,0.9,2015,4,Overall CPI
2015-05-01,overall,2.1,0.4,2015,5,Overall CPI
2015-06-01,overall,2.5,0.6,2015,6,Overall CPI
2015-07-01,overall,3.3,0.8,2015,7,Overall CPI
2015-08-01,overall,3.1,0.0,2015,8,Overall CPI
2015-09-01,overall,2.6,-0.3,2015,9,Overall CPI
2015-10-01,overall,2.5,0.4,2015,10,Overall CPI
2015-11-01,overall,2.6,0.6,2015,11,Overall CPI
2015-12-01,overall,2.7,0.0,2015,12,Overall CPI
2016-01-01,overall,3.5,-0.3,2016,1,Overall CPI
2016-02-01,overall,4.2,0.0,2016,2,Overall CPI
2016-03-01,overall,2.6,-0.6,2016,3,Overall CPI
2016-04-01,overall,2.1,0.4,2016,4,Overall CPI
2016-05-01,overall,2.0,0.3,2016,5,Overall CPI
2016-06-01,overall,1.6,0.2,2016,6,Overall CPI
2016-07-01,overall,1.1,0.3,2016,7,Overall CPI
2016-08-01,overall,1.5,0.4,2016,8,Overall CPI
2016-09-01,overall,1.5,-0.3,2016,9,Overall CPI
2016-10-01,overall,1.4,0.3,2016,10,Overall CPI
2016-11-01,overall,1.7,1.0,2016,11,Overall CPI
2016-12-01,overall,1.7,0.0,2016,12,Overall CPI
2017-01-01,overall,3.1,1.1,2017,1,Overall CPI
2017-02-01,overall,4.5,1.3,2017,2,Overall CPI
2017-03-01,overall,4.9,-0.2,2017,3,Overall CPI
2017-04-01,overall,4.3,-0.2,2017,4,Overall CPI
2017-05-01,overall,3.8,-0.2,2017,5,Overall CPI
2017-06-01,overall,3.4,-0.3,2017,6,Overall CPI
2017-07-01,overall,3.1,0.0,2017,7,Overall CPI
2017-08-01,overall,3.6,0.9,2017,8,Overall CPI
2017-09-01,overall,4.2,0.3,2017,9,Overall CPI
2017-10-01,overall,3.7,-0.1,2017,10,Overall CPI
2017-11-01,overall,3.4,0.7,2017,11,Overall CPI
